,month,day,hours,temperature,rain
104,11,1,14.0,11.3,0.0
105,11,1,14.0,11.6,0.0
106,11,1,14.0,11.6,0.0
107,11,1,14.0,11.6,0.0
108,11,1,14.5,14.9,0.0
109,11,1,14.5,17.1,0.0
110,11,1,15.0,14.1,0.0
111,11,1,14.5,14.9,0.0
112,11,1,15.0,14.1,0.0
113,11,1,15.0,10.5,0.0
114,11,1,15.0,15.8,0.0
115,11,1,15.0,10.5,0.0
116,11,1,15.0,17.2,0.0
117,11,1,15.0,13.9,0.0
118,11,1,15.0,11.9,0.0
119,11,1,15.5,17.0,0.0
120,11,1,15.5,13.0,0.0
121,11,1,15.5,15.6,0.0
122,11,1,15.5,13.0,0.0
123,11,1,15.5,15.6,0.0
124,11,6,7.5,7.9,0.0
125,11,1,15.0,11.7,0.0
126,11,1,15.5,13.0,0.0
127,11,1,15.5,15.6,0.0
128,11,1,16.0,16.1,0.0
129,11,1,16.0,14.9,0.0
130,11,1,15.0,10.5,0.0
131,11,1,16.5,14.8,0.0
132,11,1,16.5,15.6,0.0
133,11,1,16.5,10.0,0.0
134,11,1,16.5,10.6,0.0
135,11,1,16.5,12.5,0.0
136,11,1,16.5,14.8,0.0
137,11,1,17.0,10.4,0.0
138,11,1,17.0,12.0,0.0
139,11,1,17.0,10.4,0.0
140,11,1,17.0,10.4,0.0
141,11,6,7.5,7.9,0.0
142,11,1,17.0,10.4,0.0
143,11,1,17.0,10.4,0.0
144,11,1,17.0,10.3,0.0
145,11,1,17.0,9.1,0.0
146,11,1,17.0,10.4,0.0
147,11,1,17.0,9.1,0.0
148,11,1,17.0,14.4,0.0
149,11,1,17.0,9.4,0.0
150,11,1,17.5,10.0,0.0
151,11,1,17.5,10.2,0.0
152,11,1,17.5,10.0,0.0
153,11,1,17.5,10.0,0.0
154,11,1,17.5,9.1,0.0
155,11,1,17.5,15.0,0.0
156,11,1,17.5,10.2,0.0
157,11,1,17.5,10.2,0.0
158,11,1,17.5,10.2,0.0
159,11,1,17.5,10.2,0.0
160,11,1,18.5,8.5,0.0
161,11,1,13.5,11.5,0.0
162,11,1,18.0,11.4,0.0
163,11,1,17.0,12.0,0.0
164,11,1,18.0,14.1,0.0
165,11,1,18.0,12.3,0.0
166,11,1,18.0,12.3,0.0
167,11,1,18.0,14.1,0.0
168,11,1,18.0,9.9,0.0
169,11,1,18.0,12.3,0.0
170,11,1,18.0,14.1,0.0
171,11,1,18.0,14.1,0.0
172,11,1,17.5,10.0,0.0
173,11,1,17.5,15.0,0.0
174,11,1,17.5,12.4,0.0
175,11,1,18.5,9.8,0.0
176,11,1,18.5,9.8,0.0
177,11,1,18.5,9.8,0.0
178,11,1,18.5,11.3,0.0
179,11,1,18.5,11.3,0.0
180,11,1,18.5,11.3,0.0
181,11,1,18.5,14.1,0.0
182,11,1,18.5,11.3,0.0
183,11,1,18.5,12.7,0.0
184,11,1,18.5,8.9,0.0
185,11,1,19.5,10.6,0.0
186,11,1,19.5,12.2,0.0
187,11,1,19.0,11.2,0.0
188,11,7,1.5,9.5,0.0
189,11,1,19.0,14.1,0.0
190,11,1,19.0,11.2,0.0
191,11,1,19.0,11.2,0.0
192,11,1,19.0,14.0,0.0
193,11,1,19.0,11.2,0.0
194,11,1,19.0,12.1,0.0
195,11,1,19.5,8.8,0.0
196,11,1,19.5,14.6,0.0
197,11,1,19.5,8.8,0.0
198,11,1,20.0,8.7,0.0
199,11,1,20.0,13.8,0.0
200,11,1,22.0,6.4,0.0
201,11,1,20.0,11.2,0.0
202,11,1,19.5,14.1,0.0
203,11,1,20.0,6.8,0.0
204,11,1,20.0,10.9,0.0
205,11,1,20.0,9.6,0.0
206,11,1,20.0,10.9,0.0
207,11,1,21.0,13.4,0.0
208,11,1,20.5,10.8,0.0
209,11,1,20.5,13.5,0.0
210,11,1,19.5,14.1,0.0
211,11,1,20.0,11.7,0.0
212,11,1,20.0,10.9,0.0
213,11,1,20.5,13.8,0.0
214,11,1,20.5,13.8,0.0
215,11,1,20.5,10.8,0.0
216,11,1,20.5,10.8,0.0
217,11,1,20.5,13.8,0.0
218,11,1,20.5,8.1,0.0
219,11,1,20.5,10.8,0.0
220,11,1,20.5,10.8,0.0
221,11,1,20.5,11.3,0.0
222,11,1,20.5,9.1,0.0
223,11,1,21.0,8.5,0.0
224,11,1,21.0,10.9,0.0
225,11,1,21.0,10.9,0.0
226,11,1,21.0,10.9,0.0
227,11,1,20.5,8.6,0.0
228,11,1,20.5,6.6,0.0
229,11,1,21.0,9.9,0.0
230,11,1,21.0,11.4,0.0
231,11,1,21.0,11.4,0.0
232,11,1,21.0,8.9,0.0
233,11,1,21.5,10.5,0.0
234,11,1,21.5,13.4,0.0
235,11,1,21.5,10.7,0.0
236,11,1,21.5,13.4,0.0
237,11,1,21.5,13.4,0.0
238,11,21,21.0,4.5,0.6
239,11,1,21.5,10.7,0.0
240,11,1,21.5,8.4,0.0
241,11,1,21.5,10.7,0.0
242,11,1,21.5,13.4,0.0
243,11,1,21.5,13.4,0.0
244,11,1,21.5,10.7,0.0
245,11,1,21.5,8.8,0.0
246,11,1,21.5,13.4,0.0
247,11,1,21.5,8.8,0.0
248,11,1,21.5,10.0,0.0
249,11,1,21.5,8.8,0.0
250,11,1,21.5,8.5,0.0
251,11,1,21.5,6.3,0.0
252,11,1,21.5,9.3,0.0
253,11,1,22.0,8.3,0.0
254,11,1,22.0,8.3,0.0
255,11,1,22.0,8.9,0.0
256,11,1,22.0,10.3,0.0
257,11,1,22.0,10.9,0.0
258,11,1,22.0,13.1,0.0
259,11,1,22.0,13.1,0.0
260,11,1,22.0,8.3,0.0
261,11,1,22.0,7.9,0.0
262,11,1,22.0,7.9,0.0
263,11,1,22.0,13.1,0.0
264,11,1,22.0,8.8,0.0
265,11,1,22.5,8.2,0.0
266,11,1,22.5,12.5,0.0
267,11,1,22.5,13.2,0.0
268,11,1,22.5,8.2,0.0
269,11,1,22.5,7.7,0.0
270,11,1,22.5,8.8,0.0
271,11,1,22.5,12.5,0.0
272,11,1,23.0,13.8,0.0
273,11,1,23.5,13.2,0.0
274,11,1,23.5,8.7,0.0
275,11,1,23.5,10.5,0.0
276,11,1,23.5,13.0,0.0
277,11,1,23.5,13.0,0.0
278,11,1,23.5,13.0,0.0
279,11,2,0.0,7.8,0.0
280,11,2,0.0,8.6,0.0
281,11,2,0.5,13.2,0.0
282,11,2,0.5,13.2,0.0
283,11,2,0.5,12.8,0.0
284,11,2,0.5,10.3,0.0
285,11,2,0.5,10.3,0.0
286,11,2,0.5,8.6,0.0
287,11,2,1.5,12.7,0.0
288,11,2,1.0,12.7,0.0
289,11,2,7.0,6.7,0.0
290,11,2,5.5,10.0,0.0
291,11,2,5.5,12.4,0.0
292,11,1,17.5,10.0,0.0
293,11,2,7.5,9.6,0.0
294,11,2,7.5,9.6,0.0
295,11,2,7.5,9.6,0.0
296,12,3,10.0,0.7,0.0
297,11,2,8.5,12.4,0.0
298,11,2,9.0,8.8,0.0
299,11,2,9.0,8.6,0.0
300,11,2,9.0,14.1,0.0
301,11,2,8.5,10.9,0.0
302,11,2,9.0,14.1,0.0
303,11,2,9.0,8.6,0.0
304,11,2,9.0,12.7,0.0
305,11,2,9.5,11.3,0.0
306,11,2,9.5,13.9,0.0
307,11,2,9.5,11.1,0.0
308,11,2,10.0,14.4,0.0
309,12,12,0.5,0.4,0.0
310,11,2,10.0,12.9,0.0
311,11,2,10.5,11.1,0.0
312,11,2,10.5,12.6,0.0
313,11,2,10.5,11.6,0.0
314,11,2,11.0,12.5,0.0
315,11,2,11.0,13.1,0.0
316,11,2,11.0,9.5,0.0
317,11,2,11.0,11.4,0.0
318,11,2,11.0,9.5,0.0
319,11,2,11.0,12.5,0.0
320,11,2,11.5,11.3,0.0
321,11,2,11.5,11.8,0.0
322,11,2,11.0,8.3,0.0
323,11,2,12.0,10.4,0.0
324,11,2,11.5,14.1,0.0
325,11,2,11.5,12.8,0.0
326,11,2,11.5,10.1,0.0
327,11,2,11.5,12.8,0.0
328,11,2,11.5,9.6,0.0
329,11,2,11.5,11.6,0.0
330,11,2,11.5,10.1,0.0
331,11,2,12.0,15.1,0.0
332,11,2,12.0,15.1,0.0
333,11,2,12.0,13.0,0.0
334,11,2,12.0,15.1,0.0
335,12,22,11.0,4.0,0.0
336,11,2,12.5,9.8,0.0
337,11,2,12.5,13.7,0.0
338,11,2,12.5,8.3,0.0
339,11,2,12.5,15.3,0.0
340,11,2,12.5,13.7,0.0
341,11,2,13.0,13.8,0.0
342,11,2,13.0,11.6,0.0
343,11,2,13.0,14.3,0.0
344,11,2,13.0,14.3,0.0
345,11,2,13.0,13.8,0.0
346,11,2,13.0,15.9,0.0
347,11,2,13.0,15.9,0.0
348,11,2,13.0,15.1,0.0
349,11,2,13.0,15.4,0.0
350,11,2,13.5,10.1,0.0
351,11,2,13.0,14.3,0.0
352,11,2,13.5,8.4,0.0
353,11,2,13.5,14.2,0.0
354,11,2,13.5,11.3,0.0
355,11,2,13.5,14.5,0.0
356,11,2,13.5,12.6,0.0
357,11,2,13.5,16.1,0.0
358,11,2,13.5,14.2,0.0
359,11,2,13.5,14.2,0.0
360,11,2,13.5,16.1,0.0
361,11,2,13.5,16.1,0.0
362,11,2,14.0,8.3,0.0
363,11,2,14.0,15.5,0.0
364,11,2,14.0,15.5,0.0
365,11,2,14.0,15.5,0.0
366,11,2,14.0,13.8,0.0
367,11,2,14.0,14.9,0.0
368,11,2,14.0,14.9,0.0
369,11,2,14.0,14.9,0.0
370,11,2,15.0,14.7,0.0
371,11,2,15.0,15.7,0.0
372,11,2,15.0,14.7,0.0
373,11,2,15.0,15.6,0.0
374,11,2,14.5,14.9,0.0
375,11,2,14.5,15.7,0.0
376,11,2,14.5,15.7,0.0
377,11,2,14.5,14.9,0.0
378,11,2,14.5,15.7,0.0
379,11,2,14.5,14.9,0.0
380,11,2,14.5,14.9,0.0
381,11,2,14.5,15.7,0.0
382,11,2,14.5,14.9,0.0
383,11,2,14.5,14.9,0.0
384,11,2,14.5,14.9,0.0
385,11,2,15.0,14.7,0.0
386,11,2,16.5,14.5,0.0
387,11,2,15.0,14.4,0.0
388,11,2,15.0,14.7,0.0
389,11,2,15.0,14.7,0.0
390,11,2,15.0,14.7,0.0
391,12,24,1.5,2.7,0.0
392,11,2,15.0,14.7,0.0
393,11,2,15.0,11.3,0.0
394,11,2,15.5,15.5,0.0
395,11,2,16.0,13.9,0.0
396,11,2,12.5,14.4,0.0
397,11,2,15.5,14.4,0.0
398,11,2,15.5,14.1,0.0
399,11,2,16.0,13.7,0.0
400,11,2,16.0,9.8,0.0
401,11,2,16.0,13.7,0.0
402,11,2,16.0,15.2,0.0
403,11,2,16.0,11.8,0.0
404,11,2,16.5,13.6,0.0
405,11,2,16.5,13.8,0.0
406,11,2,16.5,13.6,0.0
407,11,2,16.5,13.6,0.0
408,11,2,17.0,14.4,0.0
409,11,2,16.5,7.8,0.0
410,11,2,17.0,11.2,0.0
411,11,2,17.0,13.3,0.0
412,11,2,17.0,9.5,0.0
413,11,2,17.5,13.4,0.0
414,11,2,17.5,13.4,0.0
415,11,2,17.5,8.1,0.0
416,11,2,17.5,8.1,0.0
417,11,2,17.5,8.1,0.0
418,11,2,17.5,10.5,0.0
419,11,2,17.5,9.7,0.0
420,11,2,17.5,13.9,0.0
421,11,2,17.5,9.2,0.0
422,11,2,17.5,10.1,0.0
423,11,2,17.5,9.7,0.0
424,11,2,18.0,13.7,0.0
425,11,2,18.0,12.1,0.0
426,11,2,18.0,13.2,0.0
427,11,2,17.5,13.4,0.0
428,11,2,17.5,13.7,0.0
429,11,2,17.5,13.4,0.0
430,11,2,17.5,12.7,0.0
431,11,2,18.0,13.7,0.0
432,11,2,18.0,13.0,0.0
433,11,2,18.0,13.7,0.0
434,11,2,18.0,13.2,0.0
435,11,2,18.0,13.1,0.0
436,11,2,18.0,13.2,0.0
437,11,2,18.0,12.1,0.0
438,11,2,18.5,10.9,0.0
439,11,2,18.5,11.6,0.0
440,11,2,18.0,11.0,0.0
441,11,2,18.5,12.5,0.0
442,11,2,18.5,7.2,0.0
443,11,2,18.5,7.2,0.0
444,11,2,18.5,12.5,0.0
445,11,2,18.5,13.0,0.0
446,11,2,19.0,12.9,0.0
447,11,2,19.0,12.9,0.0
448,11,2,19.5,9.0,0.0
449,11,2,19.5,12.6,0.0
450,11,2,19.5,11.1,0.0
451,11,2,16.0,10.6,0.0
452,11,2,20.0,11.2,0.0
453,11,2,20.0,12.4,0.0
454,11,2,12.0,9.6,0.0
455,11,2,20.0,11.2,0.0
456,11,2,20.0,6.9,0.0
457,11,2,20.5,13.0,0.0
458,11,2,20.5,12.4,0.0
459,11,2,20.5,10.5,0.0
460,11,2,20.5,10.5,0.0
461,11,2,20.5,13.0,0.0
462,11,2,20.5,11.4,0.0
463,11,2,20.5,7.6,0.0
464,11,2,20.5,7.6,0.0
465,11,2,20.5,11.4,0.0
466,11,2,21.0,8.9,0.0
467,11,2,20.5,11.4,0.0
468,11,2,21.0,13.0,0.0
469,11,2,21.0,12.6,0.0
470,11,2,21.5,13.0,0.0
471,11,2,21.5,13.0,0.0
472,11,2,21.5,13.0,0.0
473,11,2,21.5,12.7,0.0
474,11,2,21.0,11.2,0.0
475,11,2,21.5,12.7,0.0
476,11,2,22.0,10.2,0.0
477,11,2,21.5,12.5,0.0
478,11,2,22.0,9.0,0.0
479,11,2,22.5,10.1,0.0
480,11,2,22.5,12.6,0.0
481,11,2,23.0,12.8,0.0
482,11,2,23.0,9.0,0.0
483,11,2,22.5,12.9,0.0
484,11,2,23.0,12.9,0.0
485,11,2,23.0,11.0,0.0
486,11,2,23.5,12.6,0.0
487,11,2,23.5,9.4,0.0
488,11,2,23.5,9.6,0.0
489,11,3,0.0,12.8,0.0
490,11,3,0.0,12.8,0.0
491,11,3,0.0,8.9,0.0
492,11,3,0.0,12.9,0.0
493,11,3,0.0,8.9,0.0
494,11,3,0.0,8.9,0.0
495,11,3,0.0,12.8,0.0
496,11,3,0.5,12.9,0.0
497,11,3,0.5,12.7,0.0
498,11,3,1.0,12.6,0.0
499,11,2,23.5,12.6,0.0
500,11,3,0.0,8.9,0.0
501,11,3,1.5,12.0,0.0
502,11,2,13.5,15.4,0.0
503,11,3,8.5,10.7,0.2
504,11,3,8.0,9.6,0.0
505,11,3,8.0,12.2,0.0
506,11,3,8.0,9.6,0.0
507,11,3,8.0,10.6,2.6
508,11,3,8.0,10.6,2.6
509,11,3,8.0,8.7,0.2
510,11,3,6.5,12.3,0.0
511,11,3,8.0,8.7,0.2
512,11,3,9.0,9.4,0.0
513,11,3,8.5,9.2,0.0
514,11,3,9.0,7.8,0.0
515,11,3,9.0,7.8,0.0
516,11,3,9.0,7.8,0.0
517,11,3,9.0,7.8,0.0
518,11,3,9.5,9.8,0.2
519,11,3,9.5,9.9,0.0
520,11,3,9.5,13.4,0.0
521,11,3,9.5,9.9,0.0
522,11,3,10.0,11.8,0.0
523,11,3,10.0,13.5,0.0
524,11,3,10.0,9.2,0.0
525,11,3,10.0,13.5,0.0
526,11,3,11.5,14.4,0.0
527,11,3,11.5,9.9,0.0
528,11,3,11.5,11.4,0.0
529,11,3,11.5,14.4,0.0
530,11,3,11.5,9.9,0.0
531,11,3,11.5,14.0,0.0
532,11,3,11.0,13.1,0.0
533,11,3,11.0,9.6,0.0
534,11,3,11.0,14.2,0.0
535,11,3,11.0,12.3,0.0
536,11,3,10.5,8.0,0.0
537,11,3,10.5,14.0,0.0
538,11,3,10.5,12.1,0.0
539,11,3,9.5,12.9,0.0
540,11,3,10.5,13.9,0.0
541,11,3,11.5,15.1,0.0
542,11,3,11.5,14.4,0.0
543,11,3,11.5,10.8,0.0
544,11,3,11.5,12.6,0.0
545,11,3,12.0,14.9,0.0
546,11,3,12.0,10.2,0.0
547,11,3,12.0,14.9,0.0
548,11,3,12.0,14.6,0.0
549,11,3,12.5,15.6,0.0
550,11,3,12.0,14.6,0.0
551,11,3,12.0,16.8,0.0
552,11,3,12.5,10.8,0.0
553,11,3,13.5,17.6,0.0
554,11,3,13.0,15.2,0.0
555,11,3,13.0,11.7,0.0
556,11,3,13.0,17.0,0.0
557,11,3,13.0,10.4,0.0
558,11,3,13.0,15.1,0.0
559,11,3,13.0,12.5,0.0
560,11,3,13.0,10.4,0.0
561,11,3,13.0,15.1,0.0
562,11,3,14.0,14.9,0.0
563,11,3,13.5,17.6,0.0
564,11,3,14.0,15.4,0.0
565,11,3,14.0,17.7,0.0
566,11,3,14.0,13.3,0.0
567,11,3,13.5,12.1,0.0
568,11,3,1.5,9.0,0.0
569,11,3,13.5,12.9,0.0
570,11,3,13.5,12.9,0.0
571,11,3,13.5,12.6,0.0
572,11,3,14.0,17.7,0.0
573,11,3,14.0,16.2,0.0
574,11,3,14.5,17.7,0.0
575,11,3,14.0,17.7,0.0
576,11,3,14.5,17.7,0.0
577,11,3,14.5,17.7,0.0
578,11,3,14.5,17.7,0.0
579,11,3,14.5,16.5,0.0
580,11,3,15.5,16.8,0.0
581,11,3,15.0,17.2,0.0
582,11,3,15.0,14.8,0.0
583,11,3,15.0,17.3,0.0
584,11,3,15.5,16.8,0.0
585,11,3,16.0,16.3,0.0
586,11,3,16.0,16.3,0.0
587,11,3,16.0,12.6,0.0
588,11,3,16.0,8.2,0.0
589,11,3,16.0,16.3,0.0
590,11,3,16.0,12.6,0.0
591,11,3,16.0,12.6,0.0
592,11,3,16.0,18.3,0.0
593,11,3,16.5,12.3,0.0
594,11,3,16.5,10.8,0.0
595,11,3,17.0,14.6,0.0
596,11,3,17.0,10.1,0.0
597,11,3,17.0,14.6,0.0
598,11,3,17.5,9.8,0.0
599,11,3,17.5,14.2,0.0
600,11,3,17.0,15.8,0.0
601,11,3,17.5,14.2,0.0
602,11,3,17.5,14.2,0.0
603,11,3,18.0,6.8,0.0
604,11,3,19.0,13.4,0.0
605,11,3,19.0,10.4,0.0
606,11,3,19.0,8.2,0.0
607,11,3,19.0,13.2,0.0
608,11,3,18.5,11.0,0.0
609,11,3,18.5,11.0,0.0
610,11,3,18.5,11.0,0.0
611,11,3,18.5,11.0,0.0
612,11,3,18.5,14.4,0.0
613,11,3,18.5,14.4,0.0
614,11,3,18.5,15.2,0.0
615,11,3,18.5,11.0,0.0
616,11,3,18.5,8.4,0.0
617,11,3,18.5,11.0,0.0
618,11,3,18.5,14.4,0.0
619,11,3,18.5,8.4,0.0
620,11,3,18.5,8.4,0.0
621,11,3,18.5,9.6,0.0
622,11,3,18.5,8.4,0.0
623,11,3,19.5,13.0,0.0
624,11,3,19.5,13.0,0.0
625,11,3,19.5,13.0,0.0
626,11,3,20.0,9.9,0.0
627,11,3,17.5,9.0,0.0
628,11,3,20.0,12.7,0.0
629,11,3,20.0,9.9,0.0
630,11,3,20.0,12.7,0.0
631,11,3,20.5,7.9,0.0
632,11,3,20.5,12.4,0.0
633,11,3,20.5,2.6,0.0
634,11,3,20.0,12.7,0.0
635,11,3,20.5,11.3,0.0
636,11,3,20.5,7.9,0.0
637,11,3,20.5,7.9,0.0
638,11,3,20.5,2.6,0.0
639,11,3,20.5,11.2,0.0
640,11,3,20.5,12.4,0.0
641,11,3,20.5,12.4,0.0
642,11,3,21.0,11.6,0.0
643,11,3,21.0,11.6,0.0
644,11,3,21.5,11.2,0.0
645,11,3,21.5,11.2,0.0
646,11,3,22.5,10.4,0.0
647,11,3,22.0,11.5,0.0
648,11,3,22.0,11.5,0.0
649,11,3,22.0,11.6,0.0
650,11,3,22.0,10.6,0.0
651,11,3,22.0,5.6,0.0
652,11,3,22.5,5.6,0.0
653,11,3,22.5,5.6,0.0
654,11,3,22.5,5.6,0.0
655,11,3,22.5,10.4,0.0
656,11,3,22.5,10.4,0.0
657,11,3,22.5,6.0,0.0
658,11,3,22.5,10.4,0.0
659,11,3,22.5,5.6,0.0
660,11,3,23.0,10.0,0.0
661,11,3,23.0,10.0,0.0
662,11,3,22.5,10.4,0.0
663,11,3,22.5,10.4,0.0
664,11,3,23.0,6.8,0.0
665,11,3,23.0,7.6,0.0
666,11,3,23.0,10.0,0.0
667,11,3,21.5,13.4,0.0
668,11,3,23.5,9.9,0.0
669,11,3,23.5,9.9,0.0
670,11,3,23.5,11.6,0.0
671,11,3,23.5,11.6,0.0
672,11,3,23.5,9.9,0.0
673,11,3,23.5,11.6,0.0
674,11,3,23.5,11.6,0.0
675,11,3,23.5,11.6,0.0
676,11,3,23.5,11.6,0.0
677,11,3,23.5,10.7,0.0
678,11,3,23.5,9.9,0.0
679,11,3,23.5,11.6,0.0
680,11,3,23.5,11.6,0.0
681,11,3,23.5,11.6,0.0
682,11,3,23.5,11.6,0.0
683,11,3,23.5,11.6,0.0
684,11,4,0.0,10.7,0.0
685,11,4,0.0,10.7,0.0
686,11,3,23.5,11.6,0.0
687,11,3,23.5,11.6,0.0
688,11,3,23.5,11.6,0.0
689,11,3,23.5,11.6,0.0
690,11,3,23.5,11.6,0.0
691,11,3,23.5,11.6,0.0
692,11,3,23.5,11.6,0.0
693,11,3,23.5,11.6,0.0
694,11,4,0.0,10.7,0.0
695,11,4,0.0,10.7,0.0
696,11,4,0.0,10.7,0.0
697,11,4,0.0,10.7,0.0
698,11,4,0.0,9.8,0.0
699,11,4,0.5,5.7,0.0
700,11,4,0.5,10.9,0.0
701,11,4,2.0,8.3,0.0
702,11,4,3.0,9.3,0.0
703,11,4,6.0,6.0,0.0
704,11,4,5.5,7.7,0.0
705,11,4,6.5,9.3,0.0
706,11,4,6.5,9.3,0.0
707,11,4,6.5,9.3,0.0
708,11,4,6.5,9.3,0.0
709,11,4,6.5,9.3,0.0
710,11,4,6.5,9.3,0.0
711,11,4,6.5,9.3,0.0
712,11,4,6.5,7.6,0.0
713,11,4,6.5,9.3,0.0
714,11,4,7.5,5.1,0.0
715,11,4,7.5,9.4,0.0
716,11,4,7.5,5.1,0.0
717,11,4,7.5,5.1,0.0
718,11,4,7.0,9.3,0.0
719,11,4,7.0,9.3,0.0
720,11,4,7.0,9.3,0.0
721,11,4,7.0,9.3,0.0
722,11,4,7.0,9.3,0.0
723,11,4,7.0,9.3,0.0
724,11,4,7.0,9.3,0.0
725,11,4,7.0,9.3,0.0
726,11,4,7.0,9.3,0.0
727,11,4,7.5,5.1,0.0
728,11,4,8.5,7.0,0.0
729,11,4,8.5,8.5,0.0
730,11,4,8.0,7.8,0.0
731,11,4,8.0,7.8,0.0
732,11,4,8.0,9.4,0.0
733,11,4,9.0,7.9,0.0
734,11,4,9.5,9.8,0.0
735,11,4,9.5,6.7,0.0
736,11,4,9.5,8.0,0.0
737,11,4,9.5,8.0,0.0
738,11,4,10.0,8.9,0.0
739,11,4,9.5,8.5,0.0
740,11,4,9.5,7.9,0.0
741,11,4,10.0,6.4,0.0
742,11,4,10.0,8.9,0.0
743,11,4,10.0,6.4,0.0
744,11,4,10.0,9.8,0.0
745,11,4,9.5,7.9,0.0
746,11,4,10.0,10.2,0.0
747,11,4,10.5,10.3,0.0
748,11,4,10.5,10.8,0.0
749,11,4,10.0,10.1,0.0
750,11,4,10.5,5.9,0.0
751,11,4,10.5,9.1,0.0
752,11,4,11.0,9.5,0.0
753,11,4,11.0,9.5,0.0
754,11,4,10.5,9.1,0.0
755,11,4,11.0,8.9,0.0
756,11,4,11.0,8.9,0.0
757,11,4,11.0,8.9,0.0
758,11,4,11.0,8.9,0.0
759,11,4,11.0,8.9,0.0
760,11,4,11.0,8.9,0.0
761,11,4,11.0,8.9,0.0
762,11,4,11.0,8.9,0.0
763,11,4,11.5,9.3,0.0
764,11,4,11.5,8.4,0.0
765,11,4,11.5,10.6,0.0
766,11,4,12.5,9.3,0.0
767,11,4,12.5,9.3,0.0
768,11,4,12.5,6.2,0.0
769,11,4,12.0,9.3,0.0
770,11,4,12.0,8.1,0.0
771,11,4,12.5,7.7,0.0
772,11,4,12.5,7.7,0.0
773,11,4,13.0,10.4,0.0
774,11,4,13.5,9.0,0.2
775,11,4,13.5,9.0,0.2
